Round,SecondsIntoRound,SecondsLastRoundAction,cmTotHitsR-D,cmTotHitsL-D,cmTotHitsM-D,Hits-Recvd-D,Hits-Lnd-D,Hits-Mssd-D,cmTotHitsR-P,cmTotHitsL-P,cmTotHitsM-P,Hits-Recvd-P,Hits-Lnd-P,Hits-Mssd-P,Time,DiazFighterActionReactions,PettisFightersActionsReactions,Notes
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5:00,0,0,"Diaz is mixed/orthodox/southpaw stance, Pettis is orthodox, crowd mixed on cheers for both but cheers a lot when decision to Diaz, no boos to either, Diaz is noticeably much taller, has more reach with knees, kicks, and arm reach"
1,10,10,0,0,0,0,0,0,0,0,1,0,0,1,4:51,0,misses L mt kick low outr R leg,0
1,16,6,0,0,1,0,0,1,0,0,1,0,0,0,4:45,misses R jab,0,0
1,18,2,0,0,1,0,0,0,0,0,2,0,0,1,4:43,0,misses R overhead to face,0
1,20,2,0,1,1,0,1,0,1,0,2,1,0,0,4:41,"lands R jab to facd, lands L shot to face",0,0
1,32,12,0,2,1,0,1,0,2,0,2,1,0,0,4:29,lands R push kick to body,0,0
1,39,7,0,2,4,0,0,3,2,0,2,0,0,0,4:22,"misses R,L, R combo to face",blocks R-L-R combo,0
1,42,3,0,2,4,0,0,0,2,0,3,0,0,1,4:19,0,misses R jab to face,0
1,45,3,0,2,4,0,0,0,2,0,4,0,0,1,4:16,0,misses L low leg kick to R leg,0
1,48,3,1,2,5,1,0,1,2,1,4,0,1,0,4:13,misses R jab to face,lands R jab to face,0
1,50,2,1,2,5,0,0,0,2,1,5,0,0,1,4:11,0,misses L mt kick to R leg,0
1,54,4,1,2,6,0,0,1,2,1,5,0,0,0,4:07,misses R mt kick to low R leg,blocks R mt kick w R leg push,0
1,59,5,1,2,6,0,0,0,2,1,6,0,0,1,4:02,0,misses L mt kick to R leg,0
1,62,3,1,2,8,0,0,2,2,1,7,0,0,1,3:59,"misses R, L combo to face",misses R to face,0
1,63,1,1,3,8,0,1,0,3,1,7,1,0,0,3:58,lands R hook to chin,0,0
1,64,1,1,3,8,0,0,0,3,1,7,0,0,0,3:57,0,lands arm clinch,0
1,67,3,1,4,8,0,1,0,4,1,7,1,0,0,3:54,lands R knee to R inside leg in clinch,0,0
1,70,3,1,6,8,0,2,0,6,1,7,2,0,0,3:51,"lands L , L hook to R head in clinch",0,0
1,73,3,1,8,8,0,2,0,8,1,7,2,0,0,3:48,"lands L upper to body, lands L to head in clinch",0,0
1,76,3,1,10,8,0,2,0,10,1,7,2,0,0,3:45,"Lands L, L hooks to arm, body",0,0
1,84,1,1,12,8,0,2,0,12,1,7,2,0,0,3:37,"lands R, R hammer to L body low ribs in clinch",0,0
1,90,6,1,14,8,0,2,0,14,1,7,2,0,0,3:31,"lands R knee to L head, lands R hook to L body",stops clinch hold of arms,0
1,93,3,1,14,8,0,0,0,14,1,9,0,0,2,3:28,0,"misses L cross, R upper to face",0
1,107,14,1,14,8,0,0,0,14,1,10,0,0,1,3:14,misses R push kick to body,0,0
1,117,10,1,14,8,0,0,0,14,1,12,0,0,2,3:04,0,"misses R cross, misses R mt kick to body",0
1,120,3,1,14,9,0,0,1,14,1,12,0,0,0,3:01,misses R push kick to body,0,0
1,144,24,1,15,10,0,1,1,15,1,12,1,0,0,2:37,"misses R to face, clinches neck, lands R knee to body",0,0
1,147,3,1,15,11,0,0,1,15,1,12,0,0,0,2:34,misses R hook to L head in clinch,0,0
1,150,3,1,17,11,0,2,0,17,1,12,2,0,0,2:31,"lands R knee to inside R leg, lands L knee to outside R leg in clinch",holding arm clinch,0
1,152,2,1,18,11,0,1,0,18,1,12,1,0,0,2:29,lands R knee to inside R leg,holding clinch since last started,0
1,153,1,1,20,11,0,2,0,20,1,12,2,0,0,2:28,"lands L, L hooks to R head in clinch",0,0
1,155,2,1,21,11,0,1,0,21,1,12,1,0,0,2:26,lands L hammer to R thigh,0,0
1,156,1,1,22,11,0,1,0,22,1,12,1,0,0,2:25,lands L hammer to R thigh,holding clinch since last started,0
1,160,4,1,23,11,0,1,0,23,1,12,1,0,0,2:21,lands R knee to inside R leg,holding clinch since last started,0
1,162,2,1,24,11,0,1,0,24,1,12,1,0,0,2:19,lands L knee to body,breaks clinch,0
1,165,3,1,25,11,0,1,0,25,1,13,1,0,1,2:16,lands L hook to body,misses R overhead,0
1,166,1,1,25,12,0,0,1,25,1,13,0,0,0,2:15,misses R to face ,0,0
1,170,4,2,25,12,1,0,0,25,2,13,0,1,0,2:11,0,lands R knee to L leg,0
1,179,9,2,25,13,0,0,1,25,2,13,0,0,0,2:02,misses L jab,0,0
1,183,4,2,25,13,0,0,0,25,2,14,0,0,1,1:58,0,misses L hook to head,0
1,187,4,3,25,13,1,0,0,25,3,14,0,1,0,1:54,0,lands R cross to face,0
1,194,7,3,25,15,0,0,2,25,3,14,0,0,0,1:47,"misses R, L combo to face",0,0
1,200,6,3,25,16,0,0,1,25,3,14,0,0,0,1:41,misses L jab,0,0
1,201,1,3,25,17,0,0,1,25,3,14,0,0,0,1:40,misses R push kick to body,0,0
1,204,3,4,25,17,1,0,0,25,4,15,0,1,1,1:37,receives guillotine hold,"misses R hook to head, gets guillotine",0
1,225,2,5,27,17,0,1,0,26,5,17,1,0,0,1:16,lands R hammer to face on top,0,0
1,230,5,5,28,17,0,1,0,27,5,17,1,0,0,1:11,lands R hammer to face on top,on ground getting hit,0
1,236,2,6,29,17,1,1,0,28,6,17,1,1,0,1:05,lands L hooks to R arm in ground clinch,lands R short hammers to L head clinching on ground,0
1,237,1,7,29,17,1,0,0,28,7,17,0,1,0,1:04,0,lands R short hammers to L head clinching on ground,0
1,238,1,7,30,17,0,1,0,29,7,17,1,0,0,1:03,lands L hooks to R arm in ground clinch,0,0
1,239,1,7,31,17,0,1,0,30,7,17,1,0,0,1:02,lands L hooks to R arm in ground clinch,0,0
1,242,3,7,32,17,0,1,0,31,7,17,1,0,0,0:59,breaks ground arm clinch,lands L hook to R head on ground,0
